result_rank	full_name	distance	time_id	event_desc	swimmer_age	swim_time_formatted	alt_adj_swim_time_formatted	standard_name	meet_name	swim_date	club_name	lsc_id	foreign_yesno	hytek_power_points	event_id	gender
1257	Hayes, Fletcher	200	147043387	200 BK LCM	16	2:07.94	2:07.94	2019 Winter Juniors (SCY)	2019 West Speedo Winter Junior	12/10/2019	Aces Swim Club	CO		860	67	m
1257	Jasinski, Nick	200	120892378	200 BK LCM	17	2:07.94	2:07.94	AAAA	2017 ILOP LC Senior Championsh	7/16/2017	Mundelein Mustang Swim Club	IL		817	67	m
1257	Stadler, Nate	200	109947580	200 BK LCM	15	2:07.94	2:07.94	2019 Winter Juniors (SCY)	2016 OH Speedo Sectionals at C	7/20/2016	New Albany Aquatic Club	OH		905	67	m
1257	Varozza, Preston	200	110525831	200 BK LCM	18	2:07.94	2:07.94	2019 Winter Juniors (SCY)	2016 Summer Junior Nats	8/9/2016	Waterloo Swimming	ST		805	67	m
1261	Hoff, Alexander	200	48968653	200 BK LCM	18	2:07.95	2:07.95	2017 US Open	2010 OR Speedo Western Section LC	7/20/2010	Olympic Cascade Aquatics	PN		805	67	m
1261	Underwood, Jon	200	109838240	200 BK LCM	20	2:07.95	2:07.95	2019 Winter Juniors (SCY)	2016 CA  Los Angeles Invite	7/15/2016	Arizona Aquatic Club	AZ		805	67	m
1263	Freeman, Chris	200	99544240	200 BK LCM	22	2:07.96	2:07.96	2019 Winter Juniors (SCY)	2015 Summer Nationals	8/10/2015	University Of Iowa	IA		805	67	m
1263	Hanke, Sam	200	143764118	200 BK LCM	16	2:07.96	2:07.96	2019 Winter Juniors (SCY)	2019 AP LC Y Nationals FINAL COPY	7/31/2019	Cheshire Y Sea Dog  Swim Club	CT		859	67	m
1263	Warnakulasuriya, Leon	200	141088689	200 BK LCM	20	2:07.96	2:07.96	AAAA	2019 Pro Series - Bloomington	5/18/2019	Unattached	GA	Yes	805	67	m
1266	Kaplan, Ryan	200	121686697	200 BK LCM	17	2:07.97	2:07.97	AAAA	2017 NI - LC Senior Zone Championship	8/6/2017	Three Village Swim Club	MR		816	67	m
1267	Hanson, Joshua	200	98770498	200 BK LCM	21	2:07.98	2:07.98	2019 Winter Juniors (SCY)	2015 GA LC Speedo Sectionals	7/12/2015	Unattached	NC		804	67	m
1267	Harris, Tyler	200	64723196	200 BK LCM	23	2:07.98	2:07.98	2019 Summer Juniors (LCM)	2012 CA TYR Fran Crippen Memorial Swim Meet	4/19/2012	Trojan Swim Club	CA		804	67	m
1267	Mershon, Thomas	200	58252333	200 BK LCM	19	2:07.98	2:07.98	2019 Summer Juniors (LCM)	2011 Summer Nationals	8/2/2011	Unattached	MA		804	67	m
1270	Brouwer, Alex	200	48889927	200 BK LCM	17	2:07.99	2:07.99	2017 US Open	2010 MN TWIN Speedo Champs	7/21/2010	Sun Devil Aquatics	AZ		816	67	m
1270	Cohen, Josh	200	132857409	200 BK LCM	17	2:07.99	2:07.99	AAAA	2018 PV AP  LC Y Nationals	7/31/2018	Fanwood-Scotch Plains YMCA	NJ		816	67	m
1270	Muzek, Mateo	200	77811194	200 BK LCM	21	2:07.99	2:07.99	2019 Winter Juniors (SCY)	2013 U.S. Open 	7/30/2013	Aggie Swim Club	GU	Yes	804	67	m
1270	Ryan, Liam	200	143868532	200 BK LCM	17	2:07.99	2:07.99	AAAA	2019 NCSA Summer Champs	8/6/2019	NOVA of Virginia Aquatics, Inc	VA		816	67	m
1270	Snegirev, Slavick	200	132366667	200 BK LCM	16	2:07.99	2:07.99	2019 Winter Juniors (SCY)	2018 Sectionals - Santa Clarita	7/21/2018	Pacific Swim	SI	Yes	859	67	m
1275	Bradley, Lee	200	143408485	200 BK LCM	21	2:08.00	2:08.00	AAAA	2019 VA LC SR Championships	7/21/2019	Tribe Aquatics	VA		804	67	m
1275	Casey-Bolanos, Max	200	132910392	200 BK LCM	16	2:08.00	2:08.00	2019 Winter Juniors (SCY)	2018 NCSA Summer Swimming Champ	7/31/2018	Rockville Montgomery Swim Club	PV		858	67	m
